"time","symbol","CCI"
2020-04-16,"jd",190.1907
2020-04-15,"jd",162.2117
2020-04-14,"jd",155.4201
2020-04-13,"jd",129.6331
2020-04-09,"jd",129.0737
2020-04-08,"jd",117.6896
2020-04-07,"jd",132.9985
2020-04-06,"jd",118.3847
2020-04-03,"jd",100.0008
2020-04-02,"jd",106.7228
2020-04-01,"jd",122.1452
2020-03-31,"jd",111.7461
2020-03-30,"jd",111.2172
2020-03-27,"jd",114.5969
2020-03-26,"jd",144.1724
2020-03-25,"jd",138.0265
2020-03-24,"jd",131.2441
2020-03-23,"jd",80.4631
2020-03-20,"jd",83.7728
2020-03-19,"jd",74.2705
2020-03-18,"jd",69.044
2020-03-17,"jd",87.4093
2020-03-16,"jd",43.5265
2020-03-13,"jd",111.1178
2020-03-12,"jd",95.5451
2020-03-11,"jd",153.0498
2020-03-10,"jd",155.4517
2020-03-09,"jd",133.8587
2020-03-06,"jd",173.9075
2020-03-05,"jd",209.6005
2020-03-04,"jd",205.4876
2020-03-03,"jd",175.926
2020-03-02,"jd",192.65
2020-02-28,"jd",108.8539
2020-02-27,"jd",123.8247
2020-02-26,"jd",147.2066
2020-02-25,"jd",138.1322
2020-02-24,"jd",138.7133
2020-02-21,"jd",172.9652
2020-02-20,"jd",202.0398
2020-02-19,"jd",225.8624
2020-02-18,"jd",219.125
2020-02-14,"jd",220.1935
2020-02-13,"jd",221.1246
2020-02-12,"jd",224.8845
2020-02-11,"jd",214.8374
2020-02-10,"jd",194.2076
2020-02-07,"jd",201.1006
2020-02-06,"jd",216.0241
2020-02-05,"jd",212.5984
2020-02-04,"jd",228.8789
2020-02-03,"jd",192.5456
2020-01-31,"jd",170.6399
2020-01-30,"jd",182.9669
2020-01-29,"jd",211.1447
2020-01-28,"jd",200.5054
2020-01-27,"jd",178.5916
2020-01-24,"jd",246.7359
2020-01-23,"jd",271.2185
2020-01-22,"jd",298.41
2020-01-21,"jd",265.6772
2020-01-17,"jd",285.2453
2020-01-16,"jd",280.9875
2020-01-15,"jd",295.1001
2020-01-14,"jd",309.8434
2020-01-13,"jd",325.7727
2020-01-10,"jd",293.5928
2020-01-09,"jd",293.5222
2020-01-08,"jd",281.6787
2020-01-07,"jd",280.9138
2020-01-06,"jd",273.1685
2020-01-03,"jd",275.818
