"time","symbol","RSI"
2021-03-01,"baba",50.5372
2021-02-26,"baba",50.3075
2021-02-25,"baba",50.4511
2021-02-24,"baba",51.0596
2021-02-23,"baba",51.2054
2021-02-22,"baba",51.281
2021-02-19,"baba",51.8652
2021-02-18,"baba",51.9217
2021-02-17,"baba",52.3109
2021-02-16,"baba",52.3036
2021-02-12,"baba",52.1434
2021-02-11,"baba",52.2095
2021-02-10,"baba",52.1458
2021-02-09,"baba",52.0733
2021-02-08,"baba",51.8555
2021-02-05,"baba",52.0413
2021-02-04,"baba",52.1191
2021-02-03,"baba",51.9234
2021-02-02,"baba",51.4234
2021-02-01,"baba",52.0378
2021-01-29,"baba",51.4223
2021-01-28,"baba",51.8448
2021-01-27,"baba",51.8158
2021-01-26,"baba",52.1631
2021-01-25,"baba",51.9063
2021-01-22,"baba",51.7496
2021-01-21,"baba",51.8336
2021-01-20,"baba",52.1688
2021-01-19,"baba",51.38
2021-01-15,"baba",50.9033
2021-01-14,"baba",50.8752
2021-01-13,"baba",50.4236
2021-01-12,"baba",49.8442
2021-01-11,"baba",49.9502
2021-01-08,"baba",50.4824
2021-01-07,"baba",49.9232
2021-01-06,"baba",49.9661
2021-01-05,"baba",50.748
2021-01-04,"baba",49.9839
2020-12-31,"baba",50.2857
2020-12-30,"baba",50.6386
2020-12-29,"baba",50.5085
2020-12-28,"baba",49.6471
2020-12-24,"baba",49.6245
2020-12-23,"baba",51.8213
2020-12-22,"baba",51.7995
2020-12-21,"baba",52.107
2020-12-18,"baba",52.0806
2020-12-17,"baba",52.3771
2020-12-16,"baba",52.2219
2020-12-15,"baba",51.8047
2020-12-14,"baba",51.8659
2020-12-11,"baba",52.4355
2020-12-10,"baba",52.4578
2020-12-09,"baba",52.3926
2020-12-08,"baba",52.5459
2020-12-07,"baba",52.4195
2020-12-04,"baba",52.6364
2020-12-03,"baba",52.616
2020-12-02,"baba",52.2796
2020-12-01,"baba",52.4579
2020-11-30,"baba",52.4189
2020-11-27,"baba",53.2975
2020-11-25,"baba",53.3816
2020-11-24,"baba",53.5335
2020-11-23,"baba",52.9477
2020-11-20,"baba",52.9902
2020-11-19,"baba",52.3344
2020-11-18,"baba",52.0855
2020-11-17,"baba",52.1502
2020-11-16,"baba",52.2508
2020-11-13,"baba",52.4193
2020-11-12,"baba",52.6511
2020-11-11,"baba",52.7407
2020-11-10,"baba",52.8001
2020-11-09,"baba",54.4443
2020-11-06,"baba",55.1148
2020-11-05,"baba",54.3909
2020-11-04,"baba",54.9664
2020-11-03,"baba",54.3543
2020-11-02,"baba",56.2502
2020-10-30,"baba",55.8775
2020-10-29,"baba",56.4902
2020-10-28,"baba",56.2098
2020-10-27,"baba",56.937
2020-10-26,"baba",56.3091
2020-10-23,"baba",56.5528
2020-10-22,"baba",56.3284
2020-10-21,"baba",56.4631
2020-10-20,"baba",56.6098
2020-10-19,"baba",56.3325
2020-10-16,"baba",56.493
2020-10-15,"baba",56.0084
2020-10-14,"baba",56.1336
2020-10-13,"baba",56.7521
2020-10-12,"baba",56.6021
2020-10-09,"baba",56.1932
2020-10-08,"baba",56.2571
2020-10-07,"baba",56.0056
2020-10-06,"baba",55.7481
2020-10-05,"baba",55.4882
2020-10-02,"baba",55.4819
2020-10-01,"baba",55.6295
2020-09-30,"baba",55.9391
2020-09-29,"baba",54.8546
2020-09-28,"baba",54.7948
2020-09-25,"baba",54.4743
2020-09-24,"baba",54.3853
2020-09-23,"baba",54.6368
2020-09-22,"baba",54.8202
2020-09-21,"baba",54.7252
2020-09-18,"baba",54.6342
2020-09-17,"baba",54.8919
2020-09-16,"baba",55.0809
2020-09-15,"baba",55.0695
2020-09-14,"baba",54.8238
2020-09-11,"baba",54.6646
2020-09-10,"baba",54.4041
2020-09-09,"baba",54.8366
2020-09-08,"baba",54.636
2020-09-04,"baba",55.5273
2020-09-03,"baba",55.6155
2020-09-02,"baba",56.7103
2020-09-01,"baba",56.8688
2020-08-31,"baba",56.1764
2020-08-28,"baba",56.338
2020-08-27,"baba",56.0294
2020-08-26,"baba",56.6721
2020-08-25,"baba",56.2904
2020-08-24,"baba",55.6393
2020-08-21,"baba",54.9556
2020-08-20,"baba",54.42
2020-08-19,"baba",54.6363
2020-08-18,"baba",54.5409
2020-08-17,"baba",54.3872
2020-08-14,"baba",54.1814
2020-08-13,"baba",54.1642
2020-08-12,"baba",54.2834
2020-08-11,"baba",53.8174
2020-08-10,"baba",53.7974
2020-08-07,"baba",54.1178
2020-08-06,"baba",55.2374
2020-08-05,"baba",55.1851
2020-08-04,"baba",55.001
2020-08-03,"baba",54.7099
2020-07-31,"baba",54.2314
2020-07-30,"baba",54.3734
2020-07-29,"baba",54.3534
2020-07-28,"baba",54.118
2020-07-27,"baba",54.2662
2020-07-24,"baba",54.1378
2020-07-23,"baba",54.373
2020-07-22,"baba",54.3607
2020-07-21,"baba",54.8689
2020-07-20,"baba",54.6587
2020-07-17,"baba",54.131
2020-07-16,"baba",53.8074
2020-07-15,"baba",54.3592
2020-07-14,"baba",54.3155
2020-07-13,"baba",54.5709
2020-07-10,"baba",55.3536
2020-07-09,"baba",55.4019
2020-07-08,"baba",55.1356
2020-07-07,"baba",53.6407
2020-07-06,"baba",53.9355
2020-07-02,"baba",52.7206
2020-07-01,"baba",52.1347
2020-06-30,"baba",52.1154
2020-06-29,"baba",52.0631
2020-06-26,"baba",52.1206
2020-06-25,"baba",52.6613
2020-06-24,"baba",53.0057
2020-06-23,"baba",53.2215
2020-06-22,"baba",52.6652
2020-06-19,"baba",52.6064
2020-06-18,"baba",52.8525
2020-06-17,"baba",52.9128
2020-06-16,"baba",52.7898
