"time","symbol","OBV"
2020-06-23,"jd",1228261607
2020-06-22,"jd",1217990406
2020-06-19,"jd",1202544485
2020-06-18,"jd",1225717536
2020-06-17,"jd",1265838736
2020-06-16,"jd",1241673564
2020-06-15,"jd",1225427088
2020-06-12,"jd",1213246067
2020-06-11,"jd",1198701232
2020-06-10,"jd",1218332216
2020-06-09,"jd",1206766588
2020-06-08,"jd",1218468359
2020-06-05,"jd",1206846089
2020-06-04,"jd",1189210863
2020-06-03,"jd",1199750604
2020-06-02,"jd",1186224133
2020-06-01,"jd",1170814721
2020-05-29,"jd",1159768936
2020-05-28,"jd",1142823235
2020-05-27,"jd",1153477606
2020-05-26,"jd",1169973529
2020-05-22,"jd",1148566096
2020-05-21,"jd",1171167966
2020-05-20,"jd",1190507232
2020-05-19,"jd",1160648964
2020-05-18,"jd",1181640657
2020-05-15,"jd",1153128496
2020-05-14,"jd",1112713963
2020-05-13,"jd",1085540932
2020-05-12,"jd",1062425005
2020-05-11,"jd",1047012216
2020-05-08,"jd",1058348339
2020-05-07,"jd",1044244201
2020-05-06,"jd",1033598201
2020-05-05,"jd",1021978199
2020-05-04,"jd",1011206007
2020-05-01,"jd",995638474
2020-04-30,"jd",1008784079
2020-04-29,"jd",1023365506
2020-04-28,"jd",1012565972
2020-04-27,"jd",1028429230
2020-04-24,"jd",1020206809
2020-04-23,"jd",1011322742
2020-04-22,"jd",1023089597
2020-04-21,"jd",1009324890
2020-04-20,"jd",1033660420
2020-04-17,"jd",1051239315
2020-04-16,"jd",1073240783
2020-04-15,"jd",1052110035
2020-04-14,"jd",1029250924
2020-04-13,"jd",1013940223
2020-04-09,"jd",1003744514
2020-04-08,"jd",988938706
2020-04-07,"jd",1003201516
2020-04-06,"jd",986313017
2020-04-03,"jd",971187269
2020-04-02,"jd",983359763
2020-04-01,"jd",1004811974
2020-03-31,"jd",983161180
2020-03-30,"jd",969291964
2020-03-27,"jd",954520856
2020-03-26,"jd",966820695
2020-03-25,"jd",946336054
2020-03-24,"jd",927649859
2020-03-23,"jd",903244141
2020-03-20,"jd",884317864
2020-03-19,"jd",863267447
2020-03-18,"jd",889101444
2020-03-17,"jd",912790933
2020-03-16,"jd",884968288
2020-03-13,"jd",910172226
2020-03-12,"jd",887189368
2020-03-11,"jd",917960058
2020-03-10,"jd",945052140
2020-03-09,"jd",923848312
2020-03-06,"jd",950090205
2020-03-05,"jd",975483949
2020-03-04,"jd",951335340
2020-03-03,"jd",929191784
2020-03-02,"jd",958228307
2020-02-28,"jd",912433811
2020-02-27,"jd",889454885
2020-02-26,"jd",906599842
2020-02-25,"jd",891194075
2020-02-24,"jd",905970180
2020-02-21,"jd",920233390
2020-02-20,"jd",931280843
2020-02-19,"jd",944849932
2020-02-18,"jd",934132243
2020-02-14,"jd",922269628
2020-02-13,"jd",931435571
2020-02-12,"jd",916126916
2020-02-11,"jd",900866430
2020-02-10,"jd",889519319
2020-02-07,"jd",882294031
2020-02-06,"jd",891794293
2020-02-05,"jd",882706953
2020-02-04,"jd",895210322
2020-02-03,"jd",878923771
2020-01-31,"jd",865355534
2020-01-30,"jd",877430709
2020-01-29,"jd",890023999
2020-01-28,"jd",880282392
2020-01-27,"jd",866085106
2020-01-24,"jd",889080600
2020-01-23,"jd",903402756
2020-01-22,"jd",918008144
2020-01-21,"jd",901952792
2020-01-17,"jd",915063589
2020-01-16,"jd",905121683
2020-01-15,"jd",913693906
2020-01-14,"jd",923261553
2020-01-13,"jd",935661918
2020-01-10,"jd",914943831
2020-01-09,"jd",904612836
