"time","symbol","AD"
2020-09-15,"jd",-42910609.7149
2020-09-14,"jd",-38445675.8001
2020-09-11,"jd",-43376011.2871
2020-09-10,"jd",-39087955.6926
2020-09-09,"jd",-32288013.4502
2020-09-08,"jd",-36947104.3992
2020-09-04,"jd",-31843910.5852
2020-09-03,"jd",-46974160.1778
2020-09-02,"jd",-48198794.0576
2020-09-01,"jd",-42515237.3128
2020-08-31,"jd",-50933995.2156
2020-08-28,"jd",-38968495.3419
2020-08-27,"jd",-40322861.1178
2020-08-26,"jd",-36659037.944
2020-08-25,"jd",-36570287.4116
2020-08-24,"jd",-46343025.5035
2020-08-21,"jd",-46616324.5647
2020-08-20,"jd",-49169887.9688
2020-08-19,"jd",-65277803.9688
2020-08-18,"jd",-70098938.6989
2020-08-17,"jd",-77945946.9505
2020-08-14,"jd",-109005085.3371
2020-08-13,"jd",-111160494.4429
2020-08-12,"jd",-107899679.1929
2020-08-11,"jd",-110260489.4056
2020-08-10,"jd",-103943682.5559
2020-08-07,"jd",-105418381.4612
2020-08-06,"jd",-104333834.5381
2020-08-05,"jd",-108584748.6612
2020-08-04,"jd",-114638965.415
2020-08-03,"jd",-114320026.8798
2020-07-31,"jd",-111638825.7121
2020-07-30,"jd",-117328935.7982
2020-07-29,"jd",-118240735.6369
2020-07-28,"jd",-118240735.6369
2020-07-27,"jd",-113822457.5379
2020-07-24,"jd",-122385005.9754
2020-07-23,"jd",-129968770.3373
2020-07-22,"jd",-124099051.1474
2020-07-21,"jd",-126557535.2381
2020-07-20,"jd",-119976657.8999
2020-07-17,"jd",-126045259.7811
2020-07-16,"jd",-125579360.9018
2020-07-15,"jd",-133385866.9758
2020-07-14,"jd",-135781148.9214
2020-07-13,"jd",-146754801.3511
2020-07-10,"jd",-133318628.403
2020-07-09,"jd",-134218141.9056
2020-07-08,"jd",-133818988.4674
2020-07-07,"jd",-147885213.011
2020-07-06,"jd",-139365076.3021
2020-07-02,"jd",-138630149.0118
2020-07-01,"jd",-139192261.0475
2020-06-30,"jd",-137048166.3809
2020-06-29,"jd",-138609688.7181
2020-06-26,"jd",-142882850.5981
2020-06-25,"jd",-139144737.7981
2020-06-24,"jd",-145592497.7062
2020-06-23,"jd",-145783147.1901
2020-06-22,"jd",-145849413.003
2020-06-19,"jd",-159763507.127
2020-06-18,"jd",-138292965.9964
2020-06-17,"jd",-167028420.0504
2020-06-16,"jd",-176514400.2288
2020-06-15,"jd",-189489773.6785
2020-06-12,"jd",-201143097.0178
2020-06-11,"jd",-203306791.4806
2020-06-10,"jd",-191754401.7193
2020-06-09,"jd",-198925920.1566
2020-06-08,"jd",-195705269.19
2020-06-05,"jd",-195705269.19
2020-06-04,"jd",-200544703.3017
2020-06-03,"jd",-198643037.4943
2020-06-02,"jd",-199617567.1053
2020-06-01,"jd",-202786878.7932
2020-05-29,"jd",-211623506.7932
2020-05-28,"jd",-228569207.7932
2020-05-27,"jd",-222315555.2498
2020-05-26,"jd",-229813702.0679
2020-05-22,"jd",-216293218.0679
2020-05-21,"jd",-208331195.6816
2020-05-20,"jd",-207236520.2476
2020-05-19,"jd",-218973069.5837
2020-05-18,"jd",-198536223.0947
2020-05-15,"jd",-225828612.5011
2020-05-14,"jd",-260562099.0474
2020-05-13,"jd",-285328662.3573
2020-05-12,"jd",-277149180.4958
2020-05-11,"jd",-268186512.4398
2020-05-08,"jd",-257830550.3229
2020-05-07,"jd",-268022020.459
2020-05-06,"jd",-275006880.9478
2020-05-05,"jd",-274715571.7055
2020-05-04,"jd",-267641296.3622
2020-05-01,"jd",-280299010.1099
2020-04-30,"jd",-279200386.0609
2020-04-29,"jd",-275537071.8885
2020-04-28,"jd",-281019912.2269
2020-04-27,"jd",-269554389.118
2020-04-24,"jd",-271512108.4037
2020-04-23,"jd",-272772477.7705
2020-04-22,"jd",-267542764.4372
2020-04-21,"jd",-276645231.9695
2020-04-20,"jd",-272994902.4695
2020-04-17,"jd",-259021934.6489
2020-04-16,"jd",-250864086.9635
2020-04-15,"jd",-266613221.2407
2020-04-14,"jd",-261630093.2372
2020-04-13,"jd",-250445680.45
2020-04-09,"jd",-260268943.4591
2020-04-08,"jd",-257253778.912
2020-04-07,"jd",-249994264.8402
2020-04-06,"jd",-239483240.987
2020-04-03,"jd",-246476866.4064
2020-04-02,"jd",-243013706.1416
2020-04-01,"jd",-233549495.4063
2020-03-31,"jd",-226779483.5638
2020-03-30,"jd",-227327614.7835
2020-03-27,"jd",-228123662.5201
2020-03-26,"jd",-219865199.1915
2020-03-25,"jd",-218341548.208
2020-03-24,"jd",-212526342.2952
2020-03-23,"jd",-210489227.1077
2020-03-20,"jd",-220983309.1516
2020-03-19,"jd",-202161759.8339
2020-03-18,"jd",-190679983.3895
2020-03-17,"jd",-203370781.0681
2020-03-16,"jd",-206811215.6648
2020-03-13,"jd",-202191844.3915
2020-03-12,"jd",-206885955.9724
2020-03-11,"jd",-198748252.8319
2020-03-10,"jd",-194385108.5398
2020-03-09,"jd",-198840596.4486
2020-03-06,"jd",-186958429.098
2020-03-05,"jd",-179963171.3168
2020-03-04,"jd",-191647982.1233
2020-03-03,"jd",-197772113.8074
2020-03-02,"jd",-188633715.7058
2020-02-28,"jd",-215021257.1489
2020-02-27,"jd",-232720429.9165
2020-02-26,"jd",-223424971.302
2020-02-25,"jd",-229980616.834
2020-02-24,"jd",-221872702.8083
2020-02-21,"jd",-231143789.3083
2020-02-20,"jd",-224448363.2477
2020-02-19,"jd",-213316835.1459
2020-02-18,"jd",-218675679.6459
2020-02-14,"jd",-220670278.6282
2020-02-13,"jd",-218576535.3033
2020-02-12,"jd",-224813394.7478
2020-02-11,"jd",-220826420.928
2020-02-10,"jd",-214164741.3982
2020-02-07,"jd",-219944971.7982
2020-02-06,"jd",-217207608.1711
2020-02-05,"jd",-214511364.4349
2020-02-04,"jd",-210122764.7196
2020-02-03,"jd",-201476817.8925
2020-01-31,"jd",-209091023.3565
2020-01-30,"jd",-200309077.902
2020-01-29,"jd",-208522093.1194
2020-01-28,"jd",-208121753.1057
2020-01-27,"jd",-218252753.9083
2020-01-24,"jd",-219268619.1051
2020-01-23,"jd",-210739694.7456
2020-01-22,"jd",-223375816.9478
2020-01-21,"jd",-217381818.8678
2020-01-17,"jd",-228130310.1021
2020-01-16,"jd",-237041203.628
2020-01-15,"jd",-231541106.7898
2020-01-14,"jd",-226837110.6021
2020-01-13,"jd",-234391355.9469
2020-01-10,"jd",-234467806.4524
2020-01-09,"jd",-234333637.6862
2020-01-08,"jd",-234333637.6862
2020-01-07,"jd",-231309809.9736
2020-01-06,"jd",-235416836.0457
2020-01-03,"jd",-242935455.8457
2020-01-02,"jd",-249854103.9963
2021-08-13,"baba",613837323.746
2021-08-12,"baba",606216435.7421
2021-08-11,"baba",603654990.1579
2021-08-10,"baba",611573343.925
2021-08-09,"baba",617670917.9445
